,restaurant_name,restaurant_category
0,Brunch Café,cafe
0,Stanislav Café,cafe
0,the mill,cafe
0,Café In,cafe
0,Brick Cafe Lisboa,cafe
0,28 Café,cafe
0,O Ninho - café brunch tapas,cafe
0,Tiffin Cafe & Restaurant Lisboa,cafe
0,Café No Chiado,cafe
0,Antikuario Cafe,cafe
0,Hard Rock Cafe Lisbon,cafe
0,Quase Café,cafe
0,Casinha Boutique Café,cafe
0,Café de São Bento,cafe
0,Lisbon Café,cafe
0,Brooklyn Lisboa,cafe
0,Guadalupe.,cafe
0,Neighbourhood Cafe Lisbon,cafe
0,Nossa Lisboa,cafe
0,MELBOURNE coffeehouse,cafe
0,Kafeine / Avenida da Liberdade,cafe
0,Tease,cafe
0,Noobai - Rooftop Bar e Restaurante,cafe
0,Esplanada Cafe,cafe
0,Kaffeehaus,cafe
0,Leitaria Lisboa,cafe
0,Nicola,cafe
0,Royale Café,cafe
0,Café O Corvo,cafe
0,Curva,cafe
0,Café Príncipe Real Restaurante & Cocktail Bar,cafe
0,Café Buenos Aires,cafe
0,Seagull Method cafe,cafe
0,Portela,cafe
0,"Arts Cafe, Event Venue",cafe
0,Copenhagen Coffee Lab & Bakery,cafe
0,Banana Cafe,cafe
0,COA Café da Ordem dos Arquitectos,cafe
0,Café Garrett by Ohana,cafe
0,Audrey´s,cafe
0,COMOBÁ,cafe
0,Avenida SushiCafé,cafe
0,Café da Garagem,cafe
0,Café Pit,cafe
0,Le Petit Café,cafe
0,Chiado Caffe,cafe
0,Café 1890,cafe
0,Restaurante Café e Grill Tradicional Indiano e Português,cafe
0,Cotidiano Lisboa,cafe
0,Miolo,cafe
0,Fábrica Coffee Roasters,cafe
0,Café Janis,cafe
0,Nicolau Lisboa,cafe
0,Leitaria Baiana,cafe
0,Lisboa é Linda,cafe
0,Cafeh Tehran,cafe
0,Bistrot Le Café,cafe
0,"Leitaria, Pastelaria Eneri",cafe
0,Zenith,cafe
0,sajna lebanese cafe,cafe
0,Amélia Lisboa,cafe
0,Pão de Canela,cafe
0,Zappi,cafe
0,Pop Cereal Café,cafe
0,Slow,cafe
0,Santelmo,cafe
0,Break,cafe
0,Di Marzano Café Vermuteria,cafe
0,Joana’s Coffee,cafe
0,"Maria Limão Brunch, Crepes, Limonadas Lisboa",cafe
0,Frutaria Cafe,cafe
0,Lounge Caffé,cafe
0,PappaRoti Portugal,cafe
0,Horácio Trattoria - Gastronomia,cafe
0,Can the Can Lisboa,cafe
0,Lisbon cafe & kebab house,cafe
0,Leitaria Anita,cafe
0,Yummi - Toasts & Tartines,cafe
0,Sommelier Lisbon,cafe
0,Café Calçada Bistro,cafe
0,Cusca Café,cafe
0,Cafe Tofa,cafe
0,Red Cafe,cafe
0,Rebel Café,cafe
0,Duetos da Sé,cafe
0,Eléctrico Café,cafe
0,Basílio,cafe
0,"Cafe Brazil, Lda.",cafe
0,Leitaria Moderna,cafe
0,Bettina & Niccolo Corallo,cafe
0,A Loja do Sr. Rocha,cafe
0,Buna Specialty Coffee Shop,cafe
0,RD's Restaurante and cafe,cafe
0,Manjerica,cafe
0,lisboa,cafe
0,Sr. Lisboa,cafe
0,Yallah Lisboa,cafe
0,Doló Teahouse,cafe
0,Cafe,cafe
0,Crossroad10 - Fusion-Bistro,cafe
0,Al Garage,italian restaurant
0,Casanostra,italian restaurant
0,Prima Pasta,italian restaurant
0,Forno d'Oro,italian restaurant
0,La Piadina,italian restaurant
0,Tomato Garden Italian Restaurant,italian restaurant
0,La Vita è Bella,italian restaurant
0,Jamie's Italian Lisboa,italian restaurant
0,Il Mercato,italian restaurant
0,Il Matriciano,italian restaurant
0,Mano a Mano - Ristorante pizzerie,italian restaurant
0,Pizzeria Mezzogiorno,italian restaurant
0,Bella Ciao - Cantina Italiana,italian restaurant
0,Troppo Squisito,italian restaurant
