type_of_food,neighborhood,price,outputs
italian,Santiago,2,1.0
fado,Santiago,3,1.0
italian,Sacramento,3,1.0
asian,Sacramento,2,1.0
asian,Sacramento,3,1.0
portuguese,São Nicolau,1,1.0
portuguese,São Nicolau,4,1.0
pastry,Sacramento,3,1.0
mediterranean,Pena,2,1.0
pizza,São Nicolau,1,1.0
fast_food,Sacramento,3,1.0
fado,Sacramento,2,1.0
cafe,Pena,2,1.0
italian,Socorro,3,1.0
brunch,Pena,1,1.0
brunch,Pena,2,1.0
fado,Santo Estevão,3,1.0
burger,Socorro,3,1.0
indian_nepalese,São Nicolau,1,1.0
bar,Pena,2,1.0
italian,Encarnação,3,1.0
bistro,São Nicolau,1,1.0
pasta,Sacramento,2,1.0
africa_me,Socorro,3,1.0
pasta,Sacramento,3,1.0
veggie_healthy,Pena,2,1.0
mexican,Sacramento,2,1.0
mexican,Sacramento,3,1.0
italian,Sacramento,2,1.0
south_america,Pena,2,1.0
africa_me,Sacramento,2,1.0
africa_me,Sacramento,3,1.0
burger,Sacramento,2,1.0
pastry,São Cristóvão,3,1.0
burger,Sacramento,3,1.0
fado,Santo Estevão,4,1.0
italian,São Cristóvão,3,1.0
pizza,Sacramento,3,1.0
pasta,São Nicolau,1,1.0
bar,São Miguel,2,1.0
burger,Santo Estevão,4,1.0
africa_me,São Cristóvão,4,1.0
bar,São Miguel,3,1.0
africa_me,Santo Estevão,3,1.0
portuguese,Santiago,3,1.0
portuguese,Santiago,4,1.0
africa_me,Santo Estevão,4,1.0
portuguese,Santiago,2,1.0
indian_nepalese,Santiago,3,1.0
seafood,São Miguel,2,1.0
seafood,São Miguel,4,1.0
grill,Santiago,3,1.0
mexican,Santo Estevão,3,1.0
grill,Santiago,2,1.0
pasta,Santiago,2,1.0
pasta,Santiago,3,1.0
pastry,Socorro,3,1.0
italian,Santiago,3,1.0
fast_food,Santo Estevão,4,1.0
pastry,Santiago,3,1.0
pastry,Santo Estevão,3,1.0
asian,Santiago,3,1.0
pastry,Santo Estevão,4,1.0
mediterranean,São Miguel,4,1.0
mexican,São Nicolau,1,1.0
italian,Santo Estevão,4,1.0
cafe,Socorro,3,1.0
asian,Santo Estevão,3,1.0
european,São Miguel,3,1.0
africa_me,Santiago,3,1.0
italian,Santo Estevão,3,1.0
mexican,Santiago,3,1.0
south_america,São Nicolau,1,1.0
fado,São Cristóvão,3,1.0
european,Sacramento,3,1.0
indian_nepalese,Castelo,4,1.0
africa_me,Castelo,3,1.0
south_america,Sacramento,3,1.0
mexican,Castelo,3,1.0
africa_me,Pena,1,1.0
africa_me,Pena,2,1.0
pasta,Castelo,3,1.0
veggie_healthy,Sacramento,3,1.0
pasta,Castelo,2,1.0
bistro,Sacramento,2,1.0
pasta,Socorro,3,1.0
pasta,Pena,1,1.0
pasta,Pena,2,1.0
portuguese,Castelo,3,1.0
portuguese,Castelo,4,1.0
portuguese,Castelo,2,1.0
burger,Pena,2,1.0
brunch,Santa Isabel,2,1.0
south_america,Sacramento,2,1.0
seafood,Sacramento,2,1.0
brunch,Santa Isabel,3,1.0
fado,Castelo,3,1.0
chicken,Sacramento,3,1.0
bar,Sacramento,2,1.0
bar,Sacramento,3,1.0
asian,Pena,2,1.0
pastry,Castelo,3,1.0
italian,Castelo,2,1.0
pastry,Castelo,2,1.0
asian,Castelo,3,1.0
seafood,Sacramento,4,1.0
italian,Pena,2,1.0
italian,Castelo,3,1.0
