,type_of_food,neighborhood,price,outputs
2860,italian,Santiago,2,1.0
2879,fado,Santiago,3,1.0
1903,italian,Sacramento,3,1.0
1904,asian,Sacramento,2,1.0
1907,asian,Sacramento,3,1.0
2449,portuguese,São Nicolau,1,1.0
2450,portuguese,São Nicolau,4,1.0
1911,pastry,Sacramento,3,1.0
1160,mediterranean,Pena,2,1.0
2453,pizza,São Nicolau,1,1.0
1915,fast_food,Sacramento,3,1.0
1916,fado,Sacramento,2,1.0
1156,cafe,Pena,2,1.0
943,italian,Socorro,3,1.0
1153,brunch,Pena,1,1.0
1152,brunch,Pena,2,1.0
1151,fado,Santo Estevão,3,1.0
939,burger,Socorro,3,1.0
2445,indian_nepalese,São Nicolau,1,1.0
1172,bar,Pena,2,1.0
751,italian,Encarnação,3,1.0
2437,bistro,São Nicolau,1,1.0
1884,pasta,Sacramento,2,1.0
935,africa_me,Socorro,3,1.0
1887,pasta,Sacramento,3,1.0
1184,veggie_healthy,Pena,2,1.0
1888,mexican,Sacramento,2,1.0
1891,mexican,Sacramento,3,1.0
1900,italian,Sacramento,2,1.0
1180,south_america,Pena,2,1.0
1892,africa_me,Sacramento,2,1.0
1895,africa_me,Sacramento,3,1.0
1896,burger,Sacramento,2,1.0
2199,pastry,São Cristóvão,3,1.0
1899,burger,Sacramento,3,1.0
1150,fado,Santo Estevão,4,1.0
2191,italian,São Cristóvão,3,1.0
1879,pizza,Sacramento,3,1.0
2461,pasta,São Nicolau,1,1.0
1940,bar,São Miguel,2,1.0
1130,burger,Santo Estevão,4,1.0
2182,africa_me,São Cristóvão,4,1.0
1943,bar,São Miguel,3,1.0
1127,africa_me,Santo Estevão,3,1.0
2835,portuguese,Santiago,3,1.0
2834,portuguese,Santiago,4,1.0
1126,africa_me,Santo Estevão,4,1.0
2832,portuguese,Santiago,2,1.0
2831,indian_nepalese,Santiago,3,1.0
1944,seafood,São Miguel,2,1.0
1946,seafood,São Miguel,4,1.0
2827,grill,Santiago,3,1.0
1123,mexican,Santo Estevão,3,1.0
2824,grill,Santiago,2,1.0
2844,pasta,Santiago,2,1.0
2847,pasta,Santiago,3,1.0
951,pastry,Socorro,3,1.0
2863,italian,Santiago,3,1.0
1146,fast_food,Santo Estevão,4,1.0
