,name,type,rating,review_count,price,address,label
0,Augusto Lisboa,brunch,4.8,1032.0,2.0,"Rua Santa M.nha 26, 1100-491 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
1,Tiffin Cafe & Restaurant Lisboa,cafe,4.9,139.0,2.0,"R. do Conde 32, 1200-637 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
2,Crisfama,mediterranean,4.8,649.0,1.0,"Rua da Cruz de Santa Apolónia 56, 1100-188 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
3,Alma,european,4.8,953.0,4.0,"R. Anchieta 15, 1200-224 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
4,Restaurant CHULHO & Bar,chicken,4.9,180.0,,"R. de São João da Mata 82, 1200-850 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
5,Jam Club,bar,4.8,664.0,1.0,"Tv. Inglesinhos 49, 1200-223 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
6,Ramiro,seafood,4.5,11612.0,3.0,"Av. Alm. Reis 1 H, 1150-007 Lisboa, Portugal","['Dine-in', 'Drive-through', 'No-contact delivery']"
7,Belcanto,south_america,4.6,865.0,4.0,"R. Serpa Pinto 10A, 1200-026 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
9,A Cevicheria,south_america,4.4,2674.0,2.0,"R. Dom Pedro V 129, 1250-096 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
11,Lisbon cafe & kebab house,veggie_healthy,4.9,37.0,,"Rua Marquês Ponte de Lima 21C, 1100-132 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
12,Frade dos Mares,seafood,4.6,1256.0,2.0,"Av. Dom Carlos i 55A, 1200-647 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
13,Estaminé art food drink,bistro,4.8,226.0,,"Calçada do Monte 86A, 1170-112 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
14,Mercearia do Século,brunch,4.8,287.0,,"Rua de O Século 145, 1250-095 Lisboa, Portugal","['Dine-in', 'Takeaway']"
15,Needle in a haystack,grill,4.8,425.0,2.0,"R. Jardim do Tabaco 3, 1100-286 Lisboa, Portugal","['Dine-in', 'No delivery']"
17,Sommelier Lisbon,european,4.6,514.0,3.0,"R. do Telhal 59, 1150-316 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
20,RIB - Beef & Wine Lisboa,grill,4.4,529.0,2.0,"Praça do Comércio 31A, 1100-148 Lisboa, Portugal","['Dine-in', 'No delivery']"
21,Yallah Lisboa,mediterranean,4.3,342.0,,"R. Santos-O-Velho 22, 1200-813 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No delivery']"
23,Taberna Sal Grosso,chicken,4.7,1223.0,1.0,"Calçada do Forte 22, 1100-256 Lisboa, Portugal",['Dine-in']
25,Rua,chicken,4.7,213.0,2.0,"Rua de O Século 149 a, 1200-434 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
26,Restaurante Consensual,bistro,4.6,142.0,,"Travessa da Água da Flor 42, 1200-010 Lisboa, Portugal","['Dine-in', 'Takeaway']"
28,Tantura,mediterranean,4.7,750.0,2.0,"R. do Trombeta 1 D, 1200-471 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No-contact delivery']"
29,JNcQUOI Avenida,brunch,4.6,1827.0,4.0,"Av. da Liberdade 182 184, 1250-146 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
30,The Little Wine Bar,bar,4.7,294.0,2.0,"Calçada do Duque 39, 1200-155 Lisboa, Portugal","['Dine-in', 'No delivery']"
31,A Taberna Do Mar,european,4.7,204.0,2.0,"Calçada da Graça 20 B, 1100-266 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No delivery']"
32,A Venda Lusitana,mediterranean,4.6,340.0,2.0,"R. do Telhal 75, 1150-345 Lisboa, Portugal","['Dine-in', 'Curbside pickup']"
33,Duque,mediterranean,4.6,1010.0,2.0,"R. do Duque 5, 1200-158 Lisboa, Portugal","['Dine-in', 'No delivery']"
34,Ofício,south_america,4.5,584.0,2.0,"R. Nova da Trindade 11k, 1200-301 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
35,Yak & Yeti,indian_nepalese,4.6,816.0,1.0,"Calçada de Santo André 17, 1100-466 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
36,Lisboa à Noite,portuguese,4.5,678.0,3.0,"R. das Gáveas 69, 1200-206 Lisboa, Portugal","['Dine-in', 'No delivery']"
37,Lisbon You and Me,european,4.5,1459.0,1.0,"R. da Adiça 58, 1100-118 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
38,Epur,european,4.8,138.0,4.0,"Largo da Academia Nacional de Belas Artes 14, 1200-289 Lisboa, Portugal","['Dine-in', 'No delivery']"
39,Bono Lisboa,grill,4.9,115.0,,"Calçada Ferragial 9, 1200-182 Lisboa, Portugal","['Dine-in', 'Delivery', 'No takeaway']"
40,Augusto Lisboa,brunch,4.8,1032.0,2.0,"Rua Santa M.nha 26, 1100-491 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
41,A Cevicheria,south_america,4.4,2674.0,2.0,"R. Dom Pedro V 129, 1250-096 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
42,Crisfama,mediterranean,4.8,649.0,1.0,"Rua da Cruz de Santa Apolónia 56, 1100-188 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
43,Sommelier Lisbon,european,4.6,514.0,3.0,"R. do Telhal 59, 1150-316 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
44,Ramiro,seafood,4.5,11612.0,3.0,"Av. Alm. Reis 1 H, 1150-007 Lisboa, Portugal","['Dine-in', 'Drive-through', 'No-contact delivery']"
45,Estaminé art food drink,bistro,4.8,226.0,,"Calçada do Monte 86A, 1170-112 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
46,Tapisco Lisboa,european,4.4,822.0,3.0,"R. Dom Pedro V 81, 1250-096 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
49,Maria Catita,portuguese,4.5,1763.0,2.0,"Rua dos Bacalhoeiros 30, 1100-389 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
50,Pateo - Bairro do Avillez,portuguese,4.3,4137.0,3.0,"R. Nova da Trindade 18, 1200-303 Lisboa, Portugal","['Dine-in', 'Takeaway']"
51,Gambrinus,portuguese,4.4,1199.0,4.0,"R. das Portas de Santo Antão 23, 1150-264 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
52,Restaurante Meson Andaluz,european,4.4,1081.0,2.0,"Tv. do Alecrim 4, 1200-019 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
53,La Paparrucha,south_america,4.5,2307.0,3.0,"R. Dom Pedro V 18 20, 1250-094 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
55,Lisboa é Linda,cafe,4.6,674.0,2.0,"Tv. São Paulo 9 13, 1200-431 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
56,Loco,european,4.7,260.0,4.0,"R. Navegantes nº53-B, 1200-731 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
57,Nossa Lisboa,cafe,4.4,579.0,,"R. Joaquim Bonifácio 20A, 1150-134 Lisboa, Portugal","['Dine-in', 'Drive-through', 'No-contact delivery']"
58,Porter,bistro,4.4,121.0,,"Rua do Arsenal 146, 1100-041 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
60,Coppola,pizza,4.9,89.0,2.0,"Praça das Flores 56, 1200-250 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
61,A Nossa Casa,european,4.8,706.0,2.0,"R. da Atalaia 31, 1200-037 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
62,Essencial,european,4.8,107.0,,"R. da Rosa 176, 1200-390 Lisboa, Portugal",['Dine-in']
