Index,restaurant_name,restaurant_category,restaurant_description,restaurant_rating,restaurant_comment_number,restaurant_price_range,restaurant_location,restaurant_services
0,Augusto Lisboa,Brunch restaurant,"Hip brunch eatery serving savory toasts, banana bread & salads, plus coffee, juice & ice cream.",4.8,"1,032 Google reviews",££,"Rua Santa M.nha 26, 1100-491 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Tiffin Cafe & Restaurant Lisboa,Brunch restaurant,,4.9,139 Google reviews,££,"R. do Conde 32, 1200-637 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Crisfama,Restaurant,,4.8,649 Google reviews,£,"Rua da Cruz de Santa Apolónia 56, 1100-188 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Alma,Fine dining restaurant,"High-end restaurant with avant-garde local meat & seafood dishes, plus an extensive wine list.",4.8,953 Google reviews,££££,"R. Anchieta 15, 1200-224 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Restaurant CHULHO & Bar,Restaurant,,4.9,180 Google reviews,,"R. de São João da Mata 82, 1200-850 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Jam Club,Restaurant,,4.8,664 Google reviews,£,"Tv. Inglesinhos 49, 1200-223 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Ramiro,Seafood restaurant,"Relaxed, informal 3-floor seafood and beer drinking eatery established in the 1950s.",4.5,"11,612 Google reviews",£££,"Av. Alm. Reis 1 H, 1150-007 Lisboa, Portugal","['Dine-in', 'Drive-through', 'No-contact delivery']"
0,Belcanto,Restaurant,"Chic, wood-paneled dining room serving modern takes on Portuguese classics from chef Jose Avillez.",4.6,865 Google reviews,££££,"R. Serpa Pinto 10A, 1200-026 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Feitoria,Portuguese restaurant,"Portuguese fare served in a light-filled, white-tablecloth space at the Altis Belém Hotel.",4.8,357 Google reviews,££££,"Altis Belem Hotel & Spa, Doca do Bom Sucesso, 1400-038 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,A Cevicheria,Peruvian restaurant,"Casual Peruvian spot serving ceviche & seafood dishes with an Asian twist, plus pisco sours & wine.",4.4,"2,674 Google reviews",££,"R. Dom Pedro V 129, 1250-096 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Eneko Lisboa,Basque restaurant,,4.9,42 Google reviews,,"R. Maria Luísa Holstein 15, 1300-388 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Lisbon cafe & kebab house,Restaurant,,4.9,37 Google reviews,,"Rua Marquês Ponte de Lima 21C, 1100-132 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Frade dos Mares,Restaurant,"Contemporary setting for a modern take on Portuguese seafood, including many octopus dishes, & meat.",4.6,"1,256 Google reviews",££,"Av. Dom Carlos i 55A, 1200-647 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
0,Estaminé art food drink,Bistro,,4.8,226 Google reviews,,"Calçada do Monte 86A, 1170-112 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Mercearia do Século,Restaurant,,4.8,287 Google reviews,,"Rua de O Século 145, 1250-095 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Needle in a haystack,Restaurant,,4.8,425 Google reviews,££,"R. Jardim do Tabaco 3, 1100-286 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Há Tapas no Mercado,Tapas restaurant,,4.8,721 Google reviews,£,"R. Ângela Pinto 14, 1900-067 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Sommelier Lisbon,European restaurant,,4.6,514 Google reviews,£££,"R. do Telhal 59, 1150-316 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Prado,Restaurant,"Soaring, light-filled, industrial-chic haunt with carefully sourced wine & modern seasonal cuisine.",4.5,646 Google reviews,££,"Tv. Pedras Negras 2, 1100-404 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Ceia,Restaurant,,4.9,46 Google reviews,,"Campo de Santa Clara 128, 1100-473 Lisboa, Portugal",['Dine-in']
0,RIB - Beef & Wine Lisboa,Restaurant,,4.4,529 Google reviews,££,"Praça do Comércio 31A, 1100-148 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Yallah Lisboa,Restaurant,,4.3,342 Google reviews,,"R. Santos-O-Velho 22, 1200-813 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No delivery']"
0,Tabernário do Bairro,Restaurant,,4.8,199 Google reviews,,"R. Afonso Domingues 2A, 1170-004 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Taberna Sal Grosso,Restaurant,,4.7,"1,223 Google reviews",£,"Calçada do Forte 22, 1100-256 Lisboa, Portugal",['Dine-in']
0,Invicta Madragoa,Restaurant,,4.8,324 Google reviews,££,"140 Rua da Esperança Madragoa, 1200-659 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
